Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
2020-12-31,7980.5624,2798.8163,4495.5066,2439.1315,2392.02,2338.05,20258.86,409.458,1898.36
2021-01-29,7899.3409,2939.6532,4448.3582,2511.9655,2374.87,2345.78,20244.45,430.9947,1847.65
2021-02-26,8117.1709,3122.8417,4549.1513,2531.241,2340.58,2354.4,20795.58,476.9869,1734.04
2021-03-31,8472.5995,3154.0978,4659.933,2493.7106,2311.35,2357.92,21944.84,467.414,1707.71
2021-04-30,8924.7662,3220.3308,4803.2798,2556.1525,2329.61,2383.53,23726.14,505.8542,1769.13
2021-05-31,8987.0751,3226.9646,4963.5496,2615.8966,2337.22,2390.58,23921.42,519.2278,1906.87
2021-06-30,9196.85,3289.4807,4909.4829,2621.4467,2353.64,2422.6,24584.1,535.9755,1770.11
2021-07-30,9415.3044,3170.7009,4947.3682,2446.0285,2379.96,2431.83,25657.05,541.129,1814.19
2021-08-31,9701.5917,3241.5528,5035.8321,2510.4344,2375.43,2444.32,26191.56,527.3677,1813.62
2021-09-30,9250.2361,3145.9603,4894.9141,2411.6369,2354.86,2444.06,24640.59,557.7057,1756.95
2021-10-29,9898.2267,3279.7866,5015.6608,2435.7567,2354.21,2439.87,26384.62,588.2094,1783.38
2021-11-30,9829.4315,3142.4324,4783.2377,2336.5049,2361.18,2416.14,26117.18,522.4443,1774.52
2021-12-31,10269.2852,3212.602,5029.0203,2382.6275,2355.14,2461.43,28625.44,561.1805,1829.2
2022-01-31,9737.8641,2903.2909,4786.7067,2337.418,2304.4,2394.13,26354.72,623.7843,1797.17
2022-02-28,9446.0186,2934.2287,4704.1908,2267.1551,2278.69,2369.55,25328.68,673.0487,1908.99
2022-03-31,9796.7355,2970.617,4741.0872,2216.8228,2215.38,2342.38,27119.13,724.1862,1937.44
2022-04-29,8942.4568,2676.2014,4437.5246,2093.8297,2131.31,2259.09,26127.91,756.7522,1896.93
2022-05-31,8958.9675,2680.0495,4476.5678,2103.4912,2145.05,2264.63,24904.74,786.4548,1837.35
2022-06-30,8219.1718,2459.6066,4062.228,1964.9641,2111.4,2112.15,23136.73,709.2296,1807.27
2022-07-29,8977.0367,2716.3957,4265.4755,1961.5715,2162.99,2236.84,25114.35,692.6372,1765.94
2022-08-31,8610.9296,2660.81,4064.0133,1970.3719,2101.88,2185.29,23636.59,665.9277,1711.04
2022-09-30,7817.6574,2406.0571,3687.4331,1740.3255,2011.06,2098.5,20630.59,607.7575,1660.61
2022-10-31,8450.6013,2670.938,3885.9002,1686.5109,1985.01,2153.03,21328.28,636.8439,1633.56
2022-11-30,8922.856,2732.7365,4324.6115,1936.9066,2058.01,2199.76,22606.77,621.1091,1768.52
2022-12-30,8407.8758,2555.287,4329.3259,1910.7491,2048.73,2186.03,21483.84,610.0719,1824.02
2023-01-31,8936.1319,2804.3403,4680.8264,2061.7576,2111.76,2269.26,23647.16,606.0573,1928.36
